# format_version: 1;
# system_name: Nexus;
# date_time: 2021-01-13T00-00-00Z;
# samples_per_day: 144;
# project_first_level: AIRPORT;
# project_second_level: AD8_PROTOTYPE;
# project_name: GENERAL_DAQ;
# project_version: 0;
# license: Usage policy according to https://onedas.iwes.fraunhofer.de/attachments/AIRPORT_AD8_PROTOTYPE_GENERAL_DAQ/UsageAgreementAdwen.pdf.;
Unix time;M0000_V1;P0420_RotorSpdRaw;M0010_V2;M0020_V3;M0030_V4;M0040_V5;M0050_V6;M0060_Precipitation;M0070_D1;M0100_D4;M0110_D5;M0200_B1;M0210_B2;M0220_T1;
-;600 s_mean;600 s_mean;600 s_mean;600 s_mean;600 s_mean;600 s_mean;600 s_mean;600 s_mean;600 s_mean_polar;600 s_mean_polar;600 s_mean_polar;600 s_mean;600 s_mean;600 s_mean;
-;m/s;rpm;m/s;m/s;m/s;m/s;m/s;mm;deg;deg;deg;hPa;hPa;�C;
1610496000.00000;11.17;0.2073;11.26;10.38;9.207;7.034;5.397;0.0001667;270.6;269.4;266.2;992.8;1005;2.567;
1610496600.00000;10.47;0.1573;10.55;9.497;8.34;6.617;4.836;0;261.1;264.1;260.7;992.7;1005;2.523;
1610497200.00000;10.67;0.1957;10.76;9.844;9.017;7.505;5.575;0;256.2;258.4;253.7;992.7;1005;2.42;
1610497800.00000;10.5;0.2049;10.54;9.763;8.813;7.391;5.525;0;252.3;252.6;248.7;992.6;1005;2.214;
1610498400.00000;10.87;0.2244;10.98;10.11;9.289;7.839;6.023;0;253.9;252;247;992.6;1005;2.077;
1610499000.00000;11.32;0.2887;11.41;10.48;9.572;7.939;5.978;0;258;256.6;251.9;992.4;1005;2.164;
1610499600.00000;11.75;0.2932;11.86;10.98;9.948;8.279;6.065;0;258.8;255.3;250.9;992.2;1005;2.385;
1610500200.00000;10.97;0.242;11.04;10.29;9.426;7.673;5.643;0;254.5;254.8;250.6;992.3;1005;2.301;
1610500800.00000;10.97;0.2155;11.05;10.23;9.412;7.895;6.092;0;252.3;253.5;249.2;992.4;1005;2.265;
1610501400.00000;9.92;0.2174;9.968;9.121;8.334;7.122;5.468;0;252.8;251.1;246.9;992.4;1005;2.324;
1610502000.00000;9.804;0.1784;9.885;9.004;7.989;6.662;4.848;0;251.2;250.1;244.6;992.4;1005;2.477;
1610502600.00000;11.02;0.2444;11.1;10.29;9.298;7.443;6.014;0;263.4;264.9;261;992.5;1005;2.47;
1610503200.00000;11.06;0.1866;11.13;10.44;9.745;8.03;6.383;0.0003333;264.4;266.6;263.5;992.5;1005;2.459;
1610503800.00000;11.56;0.1865;11.66;10.67;9.738;8.06;6.353;0.0001667;262.9;264.6;260.3;992.3;1005;2.499;
1610504400.00000;11.57;0.2347;11.67;10.84;10.13;8.739;6.621;0.0003333;256.2;258.5;254.6;992.2;1005;2.613;
1610505000.00000;11;0.1765;11.07;10.25;9.433;8.275;6.58;0.00034;252.5;253.7;249.2;992.1;1005;2.523;
1610505600.00000;11.71;0.2113;11.79;11.19;10.52;9.096;7.308;0;255.6;256.8;253.1;992.1;1005;2.504;
1610506200.00000;11.92;0.2141;12.01;11.22;10.29;8.527;6.613;0;261.1;262.8;259.2;992.2;1005;2.491;
1610506800.00000;12.11;0.1646;12.21;11.33;10.22;8.439;6.568;0.0001667;261.3;264.8;260.9;992.2;1005;2.47;
1610507400.00000;12.8;0.2219;12.9;12.01;11.01;9.184;7.355;0;264.7;266.5;263.2;992.3;1005;2.372;
1610508000.00000;11.28;0.1849;11.37;10.43;9.403;7.713;6.109;0;264.2;267.4;264.7;992.3;1005;2.379;
1610508600.00000;10.59;0.1861;10.66;9.95;9.144;7.865;6.217;0;265.5;263.8;259.5;992.3;1005;2.348;
1610509200.00000;10.28;0.1474;10.36;9.734;8.936;7.483;5.716;0;263.4;265.9;261.5;992.2;1005;2.379;
1610509800.00000;10.41;0.1583;10.46;9.719;8.949;7.538;5.798;0;256.8;259.6;255.2;992.2;1005;2.293;
1610510400.00000;12.32;0.2686;12.4;11.58;10.44;8.691;7.129;0.0003333;269.8;271.7;268.1;992.3;1005;2.092;
1610511000.00000;10.96;0.1998;11.05;10.55;9.891;7.901;6.356;0.0001667;266.8;270.5;267.2;992.1;1005;1.702;
1610511600.00000;10.79;0.1894;10.86;10.21;9.506;7.917;5.986;0;255.4;253.5;248.1;992;1004;1.731;
1610512200.00000;10.49;0.1657;10.56;9.966;9.279;7.839;6.162;0;251.6;250.5;246;992;1004;1.968;
1610512800.00000;10.48;0.2245;10.51;9.714;9.039;7.672;6.086;0.00034;255.2;255.5;250.8;992.3;1004;1.984;
1610513400.00000;10.71;0.1938;10.77;10.13;9.387;7.953;6.231;0.0001667;258.1;258.7;254.5;992.5;1004;1.963;
1610514000.00000;11.16;0.1914;11.23;10.45;9.641;8.122;6.139;0;259.1;257.7;253.1;992.2;1004;2.063;
1610514600.00000;11.31;0.191;11.38;10.52;9.585;7.923;6.001;0;258.8;260.7;256;991.7;1004;2.018;
1610515200.00000;11.02;0.1868;11.09;10.13;9.221;7.773;6.112;0;261;262.1;258.7;991.7;1004;2.051;
1610515800.00000;10.98;0.1876;11.04;10;9.069;7.227;5.588;0;260.6;261.5;257.6;991.6;1004;2.117;
1610516400.00000;12.29;0.208;12.4;11.19;10.03;8.291;6.278;0;263.2;264;259.5;991.6;1004;2.318;
1610517000.00000;11.66;0.01779;11.75;10.9;9.895;8.235;6.322;0;262;263.2;259.9;991.6;1004;2.371;
1610517600.00000;11.41;0.1818;11.5;10.48;9.592;7.853;6.142;0;261.3;263.6;259.5;991.6;1004;2.22;
1610518200.00000;11.83;0.2359;11.91;10.89;9.704;8.086;5.914;0;261;262.6;257.8;991.6;1004;2.249;
1610518800.00000;12.09;0.2237;12.17;11.1;10.25;8.475;6.485;0;257.1;258.2;253.7;991.5;1004;2.174;
1610519400.00000;12.04;0.2114;12.11;10.84;9.822;8.452;6.567;0;255.9;258.2;253.9;991.5;1004;2.047;
1610520000.00000;12.06;0.1744;12.15;11.33;10.44;8.761;6.771;0.0001733;255.3;258.3;253.5;991.5;1004;2.08;
1610520600.00000;11.73;0.1878;11.84;10.8;9.904;8.217;6.307;0;256.7;258.6;255.5;991.6;1004;2.012;
1610521200.00000;11.64;0.212;11.73;10.89;10.21;8.936;6.979;0;256.5;257.8;254.4;991.5;1004;2.074;
1610521800.00000;11.91;2.153;11.98;11.1;10.16;8.265;6.344;0;254.5;259.1;255.7;991.4;1004;2.061;
1610522400.00000;12.64;8.498;12.71;11.78;11;9.287;7.367;0;254.5;255.9;251.5;991.4;1004;2.045;
