# format_version: 1;
# system_name: Nexus;
# date_time: 2021-01-13T00-00-00Z;
# samples_per_day: 144;
# project_first_level: AIRPORT;
# project_second_level: AD8_PROTOTYPE;
# project_name: LIDAR_2020;
# project_version: 0;
Unix time;BlackTC_110m_HWS_hub;BluePO_110m_HWS_hub;GreenPO_110m_HWS_hub;BlackTC_110m_HWS_hub_availability;BluePO_110m_HWS_hub_availability;GreenPO_110m_HWS_hub_availability;
-;600 s;600 s;600 s;600 s;600 s;600 s;
-;;;;;;;
1610496000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610496600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610497200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610497800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610498400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610499000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610499600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610500200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610500800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610501400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610502000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610502600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610503200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610503800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610504400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610505000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610505600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610506200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610506800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610507400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610508000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610508600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610509200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610509800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610510400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610511000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610511600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610512200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610512800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610513400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610514000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610514600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610515200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610515800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610516400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610517000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610517600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610518200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610518800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610519400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610520000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610520600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610521200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610521800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610522400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610523000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610523600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610524200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610524800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610525400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610526000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610526600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610527200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1610527800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
