# format_version: 1;
# system_name: Nexus;
# date_time: 2021-06-13T00-00-00Z;
# samples_per_day: 144;
# project_first_level: AIRPORT;
# project_second_level: AD8_PROTOTYPE;
# project_name: LIDAR_2020;
# project_version: 0;
Unix time;BlackTC_110m_HWS_hub;BluePO_110m_HWS_hub;GreenPO_110m_HWS_hub;BlackTC_110m_HWS_hub_availability;BluePO_110m_HWS_hub_availability;GreenPO_110m_HWS_hub_availability;
-;600 s;600 s;600 s;600 s;600 s;600 s;
-;;;;;;;
1623595800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623596400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623597000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623597600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623598200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623598800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623599400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623600000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623600600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623601200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623601800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623602400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623603000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623603600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623604200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623604800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623605400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623606000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623606600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623607200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623607800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623608400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623609000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623609600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623610200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623610800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623611400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623612000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623612600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623613200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623613800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623614400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623615000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623615600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623616200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623616800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623617400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623618000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623618600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623619200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623619800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623620400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623621000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623621600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623622200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623622800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623623400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623624000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623624600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623625200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623625800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623626400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623627000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623627600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623628200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623628800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623629400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623630000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623630600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623631200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623631800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623632400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623633000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623633600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623634200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623634800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623635400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623636000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623636600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623637200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623637800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623638400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623639000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623639600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623640200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623640800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623641400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623642000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623642600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623643200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623643800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
