# format_version: 1;
# system_name: Nexus;
# date_time: 2021-09-13T00-00-00Z;
# samples_per_day: 144;
# project_first_level: AIRPORT;
# project_second_level: AD8_PROTOTYPE;
# project_name: LIDAR_2020;
# project_version: 0;
Unix time;BlackTC_110m_HWS_hub;BluePO_110m_HWS_hub;GreenPO_110m_HWS_hub;BlackTC_110m_HWS_hub_availability;BluePO_110m_HWS_hub_availability;GreenPO_110m_HWS_hub_availability;
-;600 s;600 s;600 s;600 s;600 s;600 s;
-;;;;;;;
1631491200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631491800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631492400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631493000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631493600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631494200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631494800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631495400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631496000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631496600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631497200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631497800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631498400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631499000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631499600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631500200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631500800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631501400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631502000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631502600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631503200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631503800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631504400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631505000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631505600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631506200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631506800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631507400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631508000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631508600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631509200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631509800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631510400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631511000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631511600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631512200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631512800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631513400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631514000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631514600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631515200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631515800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631516400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631517000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631517600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631518200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631518800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631519400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631520000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631520600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631521200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631521800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631522400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1631523000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
