# format_version: 1;
# system_name: Nexus;
# date_time: 2021-09-13T00-00-00Z;
# samples_per_day: 144;
# project_first_level: AIRPORT;
# project_second_level: AD8_PROTOTYPE;
# project_name: ISPIN;
# project_version: 0;
# license: Data from this project may only be used and distributed within Fraunhofer IWES.;
Unix time;SaDataValid;WS_free_avg;DataOK;
-;600 s;600 s;600 s;
-;-;m/s;-;
1631491200.00000;1;7.663;0;
1631491800.00000;1;7.818;0;
1631492400.00000;1;6.833;0;
1631493000.00000;1;6.751;0;
1631493600.00000;1;7.701;0;
1631494200.00000;1;7.45;0;
1631494800.00000;1;5.876;0;
1631495400.00000;1;6.03;0;
1631496000.00000;1;5.785;0;
1631496600.00000;1;6.247;0;
1631497200.00000;1;6.475;0;
1631497800.00000;1;5.58;0;
1631498400.00000;1;7.856;0;
1631499000.00000;1;8.298;0;
1631499600.00000;1;7.203;0;
1631500200.00000;1;7.777;0;
1631500800.00000;1;8.674;0;
1631501400.00000;1;7.76;0;
1631502000.00000;1;7.043;0;
1631502600.00000;1;7.399;0;
1631503200.00000;1;6.76;0;
1631503800.00000;1;7.104;0;
1631504400.00000;1;5.436;0;
1631505000.00000;1;4.12;0;
1631505600.00000;1;3.986;0;
1631506200.00000;1;6.482;0;
1631506800.00000;1;4.918;0;
1631507400.00000;1;4.75;0;
1631508000.00000;1;5.422;0;
1631508600.00000;1;5.49;0;
1631509200.00000;1;5.661;0;
1631509800.00000;1;6.997;0;
1631510400.00000;1;5.957;0;
1631511000.00000;1;6.881;0;
1631511600.00000;1;7.087;0;
1631512200.00000;1;6.271;0;
1631512800.00000;1;6.479;0;
1631513400.00000;1;6.642;0;
1631514000.00000;1;6.601;0;
1631514600.00000;1;6.923;0;
1631515200.00000;1;6.801;0;
1631515800.00000;1;7.17;0;
1631516400.00000;1;5.925;0;
1631517000.00000;1;5.826;0;
1631517600.00000;1;5.836;0;
1631518200.00000;1;6.107;0;
1631518800.00000;1;5.323;0;
1631519400.00000;1;4.767;0;
1631520000.00000;1;3.415;0;
