# format_version: 1;
# system_name: Nexus;
# date_time: 2021-06-13T00-00-00Z;
# samples_per_day: 144;
# project_first_level: AIRPORT;
# project_second_level: AD8_PROTOTYPE;
# project_name: GENERAL_DAQ;
# project_version: 0;
# license: Usage policy according to https://onedas.iwes.fraunhofer.de/attachments/AIRPORT_AD8_PROTOTYPE_GENERAL_DAQ/UsageAgreementAdwen.pdf.;
Unix time;M0000_V1;P0420_RotorSpdRaw;M0010_V2;M0020_V3;M0030_V4;M0040_V5;M0050_V6;M0060_Precipitation;M0070_D1;M0100_D4;M0110_D5;M0200_B1;M0210_B2;M0220_T1;
-;600 s_mean;600 s_mean;600 s_mean;600 s_mean;600 s_mean;600 s_mean;600 s_mean;600 s_mean;600 s_mean_polar;600 s_mean_polar;600 s_mean_polar;600 s_mean;600 s_mean;600 s_mean;
-;m/s;rpm;m/s;m/s;m/s;m/s;m/s;mm;deg;deg;deg;hPa;hPa;�C;
1623542400.00000;9.676;0.1512;9.1;8.963;7.824;6.502;5.575;0;299.1;303.2;297.7;1008;1020;12.43;
1623543000.00000;10.31;0.1608;9.995;9.514;8.296;7.054;6.031;0;298.4;300.2;294.9;1008;1020;12.47;
1623543600.00000;10.89;0.1732;10.26;9.882;8.456;7.017;6.122;0;299.4;302;298.1;1008;1020;12.52;
1623544200.00000;10.85;0.1767;10.2;9.882;8.539;6.888;6.001;0;299.9;300.7;296.7;1008;1020;12.53;
1623544800.00000;10.33;0.1561;9.78;9.35;8.198;6.691;5.986;0;299.5;301.8;298.6;1008;1020;12.53;
1623545400.00000;10.11;0.1503;9.629;9.103;7.884;6.916;6.058;0;298.8;301.6;297.4;1008;1020;12.52;
1623546000.00000;9.197;0.1379;8.637;8.376;7.427;6.103;5.438;0;306.2;305.9;300.8;1008;1020;12.56;
1623546600.00000;9.247;0.1501;8.636;8.215;7.383;6.431;5.71;0;311.9;314.4;310.2;1008;1020;12.69;
1623547200.00000;8.8;0.1475;8.194;8.192;7.316;6.292;5.643;0;303;302.6;299.1;1008;1020;12.6;
1623547800.00000;8.459;0.1416;7.521;7.82;6.977;5.873;5.208;0;303.4;304.4;299.8;1008;1020;12.38;
1623548400.00000;9.12;0.1543;8.525;8.27;7.092;5.809;5.123;0;300;303.1;299.5;1008;1020;12.35;
1623549000.00000;9.1;0.1487;8.421;8.429;7.392;5.954;5.055;0;300.6;299.8;296;1008;1020;12.36;
1623549600.00000;7.48;0.1708;7.239;6.79;6.217;4.951;3.977;0;294.3;288.1;281.6;1008;1020;12.23;
1623550200.00000;9.347;0.1425;8.451;8.286;7.113;5.803;5.034;0;305;307.4;303.5;1008;1020;12.23;
1623550800.00000;9.145;0.1385;8.008;8.105;7.026;5.995;5.37;0;303.3;304.7;299.4;1008;1020;12.39;
1623551400.00000;9.281;0.134;8.506;8.56;7.438;6.283;5.463;0;301.2;304.9;299.9;1008;1020;12.33;
1623552000.00000;9.211;0.1552;8.249;8.211;6.974;5.633;5.041;0;303.9;304;299.1;1008;1020;12.34;
1623552600.00000;8.531;0.15;8.007;7.373;6.342;5.123;4.405;0;311.8;311.7;305.7;1008;1021;12.4;
1623553200.00000;8.459;0.1273;7.903;7.718;6.687;5.889;5.053;0;309.6;306;300.9;1009;1021;12.53;
1623553800.00000;8.883;0.1318;7.877;8.035;6.847;5.896;5.276;0;305.5;305.4;301.3;1009;1021;12.55;
1623554400.00000;7.605;0.1417;7.101;6.912;6.219;5.065;4.248;0;300.3;295;286.6;1009;1021;12.6;
1623555000.00000;7.877;0.1483;7.487;7.143;6.384;5.491;4.778;0;298.2;295.8;289.4;1009;1021;12.45;
1623555600.00000;6.832;0.1369;6.45;6.038;5.397;4.725;3.925;0;297.4;289.3;281.6;1009;1021;12.3;
1623556200.00000;8.119;0.1457;7.852;7.247;6.509;5.258;4.51;0;297.5;287.6;280.3;1009;1021;12.23;
1623556800.00000;8.956;0.1478;7.958;7.878;6.376;5.146;4.185;0;301.7;297.4;291.9;1009;1021;12.25;
1623557400.00000;8.473;0.1521;7.348;7.387;6.033;4.881;4.276;0;303.1;300.5;297.4;1009;1021;12.29;
1623558000.00000;6.237;0.1474;5.801;5.284;4.166;3.513;2.957;0;299.8;288.1;278.6;1009;1021;12.05;
1623558600.00000;5.478;0.135;5.478;4.769;4.463;3.928;3.052;0;292.5;280.5;273.2;1009;1021;11.82;
1623559200.00000;6.443;0.1362;6.493;5.722;5.007;3.975;3.519;0;295.3;289.4;283.1;1009;1021;11.95;
1623559800.00000;6.652;0.1585;6.552;6.1;5.493;4.524;3.84;0;293.2;286.3;280.7;1009;1021;12.16;
1623560400.00000;6.453;0.1593;6.48;5.775;4.951;4.369;3.935;0;291.7;287.7;281.4;1009;1022;12.46;
1623561000.00000;6.433;0.1299;6.461;5.933;5.304;4.439;3.882;0;292;291.4;287;1009;1022;12.63;
1623561600.00000;6.168;0.1363;6.175;5.806;5.419;4.811;4.299;0;291.3;290;284.5;1010;1022;12.72;
1623562200.00000;5.838;0.1206;5.862;5.447;4.907;4.496;4.11;0;289.5;292.1;286.9;1010;1022;12.82;
1623562800.00000;5.967;0.1217;5.949;5.484;5.224;4.593;4.251;0;290;292.4;288.7;1010;1022;12.93;
1623563400.00000;5.905;0.09912;5.913;5.651;5.316;5.082;4.631;0;290.1;291.1;286.8;1010;1022;13.09;
1623564000.00000;6.805;0.09427;6.812;6.415;5.816;5.445;4.981;0;288.4;292.2;287.8;1010;1022;13.14;
1623564600.00000;6.806;0.1204;6.656;6.588;6.291;5.574;4.948;0;295.8;297.1;293.2;1010;1022;13.14;
1623565200.00000;6.617;0.102;6.62;6.434;6.072;5.44;4.975;0;291.5;296;291.7;1010;1022;13.35;
1623565800.00000;6.906;0.1114;6.969;6.843;6.492;5.688;5.213;0;292.3;295.6;290.3;1010;1022;13.51;
1623566400.00000;7.186;0.1141;7.232;7.099;6.871;6.12;5.544;0;293;293.5;287.6;1010;1022;13.57;
1623567000.00000;7.248;0.1438;7.065;7.101;6.704;5.989;5.312;0;295.7;301.5;297.4;1010;1022;13.79;
1623567600.00000;8.042;0.1173;7.78;7.744;7.024;6.049;5.414;0;300.9;301.2;294.9;1011;1023;13.83;
1623568200.00000;8.348;0.1233;7.843;8.158;7.626;6.537;5.669;0;305.4;313.2;308.7;1011;1023;14.01;
1623568800.00000;8.665;0.1256;7.768;8.307;7.609;6.544;5.783;0;305;312.1;307.2;1011;1023;14.07;
1623569400.00000;7.779;0.1175;7.409;7.629;7.328;6.451;5.848;0;303.8;307.1;303.1;1011;1023;14.29;
