# format_version: 1;
# system_name: Nexus;
# date_time: 2021-06-13T00-00-00Z;
# samples_per_day: 144;
# project_first_level: AIRPORT;
# project_second_level: AD8_PROTOTYPE;
# project_name: WIND_CUBE;
# project_version: 0;
# license: Data from this project may only be used and distributed within Fraunhofer IWES.;
Unix time;WC_115m_Wind_Speed;
1623724800.00000;5.3;
1623725400.00000;5.65;
1623726000.00000;5.51;
1623726600.00000;4.69;
1623727200.00000;3.53;
1623727800.00000;3.1;
1623728400.00000;4.03;
1623729000.00000;3.74;
1623729600.00000;3.8;
1623730200.00000;3.14;
1623730800.00000;3.17;
1623731400.00000;2.76;
1623732000.00000;2.7;
1623732600.00000;2.72;
1623733200.00000;3.25;
1623733800.00000;3.4;
1623734400.00000;3.29;
1623735000.00000;2.95;
1623735600.00000;2.59;
1623736200.00000;3.6;
1623736800.00000;4.95;
1623737400.00000;5.12;
1623738000.00000;4.98;
1623738600.00000;4.66;
1623739200.00000;5;
1623739800.00000;5.47;
1623740400.00000;5.37;
1623741000.00000;4.71;
1623741600.00000;5.65;
1623742200.00000;5.81;
1623742800.00000;6.06;
1623743400.00000;5.59;
1623744000.00000;4.47;
1623744600.00000;5.48;
1623745200.00000;4.5;
1623745800.00000;4.43;
1623746400.00000;4.55;
1623747000.00000;4.56;
1623747600.00000;4.83;
1623748200.00000;4.66;
1623748800.00000;4.41;
1623749400.00000;4.79;
1623750000.00000;5.25;
1623750600.00000;5.2;
1623751200.00000;5.91;
1623751800.00000;5.43;
1623752400.00000;5.6;
1623753000.00000;5.52;
1623753600.00000;5.88;
1623754200.00000;5.92;
1623754800.00000;5.94;
1623755400.00000;6.51;
1623756000.00000;6.05;
1623756600.00000;6.43;
1623757200.00000;6.31;
1623757800.00000;6.12;
1623758400.00000;6.42;
1623759000.00000;6.1;
1623759600.00000;5.84;
1623760200.00000;6.3;
1623760800.00000;6.44;
1623761400.00000;6.6;
1623762000.00000;6.2;
1623762600.00000;6.58;
1623763200.00000;6.69;
1623763800.00000;6.89;
1623764400.00000;6.71;
1623765000.00000;6.4;
1623765600.00000;5.95;
1623766200.00000;5.9;
1623766800.00000;5.64;
1623767400.00000;5.83;
1623768000.00000;5.34;
1623768600.00000;5.5;
1623769200.00000;5.23;
1623769800.00000;5.15;
1623770400.00000;4.94;
1623771000.00000;5.2;
1623771600.00000;5.06;
1623772200.00000;4.68;
1623772800.00000;4.61;
1623773400.00000;4.7;
1623774000.00000;5.11;
1623774600.00000;5.32;
1623775200.00000;5.29;
1623775800.00000;5.21;
1623776400.00000;4.98;
1623777000.00000;4.7;
1623777600.00000;4.72;
1623778200.00000;4.22;
1623778800.00000;4.53;
1623779400.00000;3.95;
1623780000.00000;2.77;
1623780600.00000;3.06;
1623781200.00000;3.46;
1623781800.00000;3.68;
1623782400.00000;3.5;
1623783000.00000;3.52;
1623783600.00000;3.24;
1623784200.00000;3.04;
1623784800.00000;3.2;
1623785400.00000;3.19;
1623786000.00000;3.35;
1623786600.00000;3.09;
1623787200.00000;3.03;
1623787800.00000;2.85;
1623788400.00000;3.53;
1623789000.00000;2.99;
1623789600.00000;3.32;
1623790200.00000;3.28;
1623790800.00000;3.34;
1623791400.00000;2.72;
1623792000.00000;3.63;
1623792600.00000;3.37;
1623793200.00000;3.61;
1623793800.00000;3.37;
1623794400.00000;3.69;
1623795000.00000;3.67;
1623795600.00000;3.62;
1623796200.00000;3.95;
1623796800.00000;4.07;
1623797400.00000;3.74;
1623798000.00000;3.92;
1623798600.00000;4.02;
1623799200.00000;4.21;
1623799800.00000;4.28;
1623800400.00000;4.27;
1623801000.00000;4.53;
