# format_version: 1;
# system_name: Nexus;
# date_time: 2021-06-13T00-00-00Z;
# samples_per_day: 144;
# project_first_level: AIRPORT;
# project_second_level: AD8_PROTOTYPE;
# project_name: WIND_CUBE;
# project_version: 0;
# license: Data from this project may only be used and distributed within Fraunhofer IWES.;
Unix time;WC_115m_Wind_Speed;
-;600 s;
-;m/s;
1623542400.00000;9.74;
1623543000.00000;10.33;
1623543600.00000;10.82;
1623544200.00000;10.92;
1623544800.00000;10.16;
1623545400.00000;9.92;
1623546000.00000;9.1;
1623546600.00000;9.07;
1623547200.00000;8.79;
1623547800.00000;8.39;
1623548400.00000;9.07;
1623549000.00000;9.09;
1623549600.00000;7.34;
1623550200.00000;9.43;
1623550800.00000;9.28;
1623551400.00000;9.24;
1623552000.00000;9.13;
1623552600.00000;8.5;
1623553200.00000;8.36;
1623553800.00000;8.83;
1623554400.00000;7.49;
1623555000.00000;7.75;
1623555600.00000;6.82;
1623556200.00000;7.98;
1623556800.00000;8.85;
1623557400.00000;8.42;
1623558000.00000;6.24;
1623558600.00000;5.33;
1623559200.00000;6.41;
1623559800.00000;6.57;
1623560400.00000;6.33;
1623561000.00000;6.38;
1623561600.00000;6.12;
1623562200.00000;5.91;
1623562800.00000;5.82;
1623563400.00000;5.93;
1623564000.00000;6.78;
1623564600.00000;6.77;
1623565200.00000;6.53;
1623565800.00000;6.99;
1623566400.00000;7.19;
1623567000.00000;7.09;
1623567600.00000;7.99;
1623568200.00000;8.24;
1623568800.00000;8.62;
1623569400.00000;7.7;
1623570000.00000;6.93;
1623570600.00000;7.96;
1623571200.00000;7.35;
1623571800.00000;8.01;
1623572400.00000;7.26;
1623573000.00000;8.19;
1623573600.00000;7.64;
1623574200.00000;7.13;
1623574800.00000;8.52;
1623575400.00000;7.91;
1623576000.00000;7.92;
1623576600.00000;7.49;
1623577200.00000;8.05;
1623577800.00000;7.74;
1623578400.00000;8.87;
1623579000.00000;8.77;
1623579600.00000;9.08;
1623580200.00000;8.3;
1623580800.00000;8.85;
1623581400.00000;8.66;
1623582000.00000;9.6;
1623582600.00000;7.99;
1623583200.00000;8.25;
1623583800.00000;8.18;
1623584400.00000;7.75;
1623585000.00000;8;
1623585600.00000;7.78;
1623586200.00000;7.63;
1623586800.00000;7.82;
1623587400.00000;7.68;
1623588000.00000;7.99;
1623588600.00000;7.53;
1623589200.00000;8.2;
1623589800.00000;8.69;
1623590400.00000;8.7;
1623591000.00000;8.94;
1623591600.00000;8.45;
1623592200.00000;8.21;
1623592800.00000;7.34;
1623593400.00000;7.81;
1623594000.00000;7.87;
1623594600.00000;7.42;
1623595200.00000;7.03;
1623595800.00000;7.24;
1623596400.00000;7.39;
1623597000.00000;7.26;
1623597600.00000;7.11;
1623598200.00000;6.9;
1623598800.00000;7.17;
1623599400.00000;6.8;
1623600000.00000;6.92;
1623600600.00000;6.12;
1623601200.00000;6.15;
1623601800.00000;6.1;
1623602400.00000;6.14;
1623603000.00000;6.16;
1623603600.00000;5.87;
1623604200.00000;5.56;
1623604800.00000;6.05;
1623605400.00000;5.85;
1623606000.00000;5.72;
1623606600.00000;5.9;
1623607200.00000;5.64;
1623607800.00000;5.49;
1623608400.00000;5.31;
1623609000.00000;5.02;
1623609600.00000;4.91;
1623610200.00000;5.22;
1623610800.00000;4.81;
1623611400.00000;4.79;
1623612000.00000;4.65;
1623612600.00000;4.74;
1623613200.00000;4.87;
1623613800.00000;4.82;
1623614400.00000;3.01;
1623615000.00000;0.74;
1623615600.00000;0.79;
1623616200.00000;0.63;
1623616800.00000;0.74;
1623617400.00000;0.89;
1623618000.00000;0.61;
1623618600.00000;0.73;
1623619200.00000;0.65;
1623619800.00000;0.85;
1623620400.00000;1.31;
1623621000.00000;1.01;
1623621600.00000;1.49;
1623622200.00000;1.31;
1623622800.00000;1.35;
1623623400.00000;1.73;
1623624000.00000;1.84;
1623624600.00000;2.12;
1623625200.00000;2.32;
1623625800.00000;2.56;
1623626400.00000;2.43;
1623627000.00000;2.36;
1623627600.00000;2.36;
1623628200.00000;2.81;
1623628800.00000;3.51;
1623629400.00000;3.63;
1623630000.00000;3.58;
1623630600.00000;3.89;
1623631200.00000;4;
1623631800.00000;4.18;
1623632400.00000;4.25;
1623633000.00000;4.91;
1623633600.00000;5.14;
1623634200.00000;5.43;
1623634800.00000;5.71;
1623635400.00000;5.91;
1623636000.00000;6.24;
1623636600.00000;7.17;
1623637200.00000;7.7;
1623637800.00000;7.45;
1623638400.00000;7.53;
1623639000.00000;7.18;
1623639600.00000;7.54;
1623640200.00000;8.36;
1623640800.00000;8.24;
1623641400.00000;8.02;
1623642000.00000;7.81;
1623642600.00000;6.9;
1623643200.00000;5.94;
1623643800.00000;6.04;
1623644400.00000;6.65;
1623645000.00000;6.6;
1623645600.00000;6.82;
1623646200.00000;7.04;
1623646800.00000;7.16;
1623647400.00000;6.89;
1623648000.00000;6.14;
1623648600.00000;5.57;
1623649200.00000;5.85;
1623649800.00000;6.08;
1623650400.00000;6.3;
1623651000.00000;6.37;
1623651600.00000;5.72;
1623652200.00000;5.5;
1623652800.00000;5.66;
1623653400.00000;5.44;
1623654000.00000;5.65;
1623654600.00000;5.93;
1623655200.00000;6.24;
1623655800.00000;5.92;
1623656400.00000;6.36;
1623657000.00000;6.8;
1623657600.00000;7.1;
1623658200.00000;7.56;
1623658800.00000;7.38;
1623659400.00000;7.67;
1623660000.00000;7.6;
1623660600.00000;7.96;
1623661200.00000;8.25;
1623661800.00000;8.23;
1623662400.00000;6.7;
1623663000.00000;6.77;
1623663600.00000;6.35;
1623664200.00000;6.68;
1623664800.00000;6;
1623665400.00000;6.06;
1623666000.00000;6.57;
1623666600.00000;5.83;
1623667200.00000;6.75;
1623667800.00000;6.26;
1623668400.00000;5.18;
1623669000.00000;6.27;
1623669600.00000;5.76;
1623670200.00000;5.84;
1623670800.00000;4.69;
1623671400.00000;5.64;
1623672000.00000;6.29;
1623672600.00000;5.47;
1623673200.00000;5.11;
1623673800.00000;4.23;
1623674400.00000;6;
1623675000.00000;5.47;
1623675600.00000;5.2;
1623676200.00000;4.91;
1623676800.00000;5.52;
1623677400.00000;5.79;
1623678000.00000;5.14;
1623678600.00000;3.94;
1623679200.00000;5.38;
1623679800.00000;5.2;
1623680400.00000;4.81;
1623681000.00000;5.36;
1623681600.00000;5.22;
1623682200.00000;5.23;
1623682800.00000;5.86;
1623683400.00000;5.72;
1623684000.00000;4.94;
1623684600.00000;5.73;
1623685200.00000;6.7;
1623685800.00000;5.87;
1623686400.00000;6.16;
1623687000.00000;6.83;
1623687600.00000;8.27;
1623688200.00000;9.38;
1623688800.00000;9.09;
1623689400.00000;8.26;
1623690000.00000;7.62;
1623690600.00000;7.5;
1623691200.00000;8.4;
1623691800.00000;7.38;
1623692400.00000;7.57;
1623693000.00000;7.63;
1623693600.00000;7.34;
1623694200.00000;6.48;
1623694800.00000;6.8;
1623695400.00000;6.31;
1623696000.00000;6.39;
1623696600.00000;5.46;
1623697200.00000;5.97;
1623697800.00000;5.14;
1623698400.00000;4.81;
1623699000.00000;5.37;
1623699600.00000;6.32;
1623700200.00000;5.7;
1623700800.00000;4.64;
1623701400.00000;5.73;
1623702000.00000;5.79;
1623702600.00000;7.79;
1623703200.00000;8.39;
1623703800.00000;8.18;
1623704400.00000;7.04;
1623705000.00000;6.58;
1623705600.00000;7.57;
1623706200.00000;7.32;
1623706800.00000;7.44;
1623707400.00000;6.51;
1623708000.00000;7.04;
1623708600.00000;6.47;
1623709200.00000;6.61;
1623709800.00000;6.32;
1623710400.00000;6.78;
1623711000.00000;6.72;
1623711600.00000;6.42;
1623712200.00000;6;
1623712800.00000;6.33;
1623713400.00000;6.25;
1623714000.00000;6.35;
1623714600.00000;6.39;
1623715200.00000;6.14;
1623715800.00000;5.58;
1623716400.00000;5.55;
1623717000.00000;5.24;
1623717600.00000;5.18;
1623718200.00000;4.46;
1623718800.00000;4.46;
1623719400.00000;4.69;
1623720000.00000;4.92;
1623720600.00000;5.96;
1623721200.00000;6.51;
1623721800.00000;6.2;
1623722400.00000;5.93;
1623723000.00000;5.7;
1623723600.00000;5.99;
1623724200.00000;5.4;
